pair,species,origin,age,replicate,phenolics,toughness,thickness,leafN
16,osan,native,young,3,13.93591167,22.5,0.004333333,1.185263903
16,osan,native,young,4,,15,0.00425,
16,osan,native,young,5,,5,0.004583333,
12,paur,invasive,mature,1,4.511171667,361.6666667,0.009777778,0.801724138
12,paur,invasive,mature,2,4.571586667,381.6666667,0.009444444,0.814123377
12,paur,invasive,mature,3,4.994491667,187.5,0.006333333,0.602439024
12,paur,invasive,mature,4,,385,0.010222222,0.68369863
12,paur,invasive,mature,5,,305,0.007666667,0.95
12,paur,invasive,young,1,5.477811667,353.3333333,0.009,1.832956077
12,paur,invasive,young,2,4.632001667,415,0.009333333,1.847570669
12,paur,invasive,young,3,4.873661667,220,0.007333333,1.864740261
12,paur,invasive,young,4,,375,0.007777778,
12,paur,invasive,young,5,,375,0.007333333,
13,plha,native,mature,1,3.665361667,160,0.02525,1.439582689
13,plha,native,mature,2,3.907021667,152.5,0.0295,1.281873429
13,plha,native,mature,3,4.934076667,107.5,0.0215,1.256586826
13,plha,native,mature,4,,120,0.02475,1.671938941
13,plha,native,mature,5,,130,0.02225,1.403438723
13,plha,native,young,1,3.423701667,62.5,0.021,1.301837659
13,plha,native,young,2,3.544531667,103.3333333,0.020625,1.372829393
13,plha,native,young,3,,108.3333333,0.014875,1.335805727
13,plha,native,young,4,,91.66666667,0.020625,
13,plha,native,young,5,,170,0.018625,
13,plla,invasive,mature,1,6.806941667,81.66666667,0.011166667,1.488935185
13,plla,invasive,mature,2,6.686111667,95,0.012416667,1.613471223
13,plla,invasive,mature,3,6.021546667,106.6666667,0.011666667,1.989441176
13,plla,invasive,mature,4,,76.66666667,0.010166667,1.842267677
13,plla,invasive,mature,5,,90,0.01075,1.883347059
13,plla,invasive,young,1,9.827691667,97.5,0.009833333,2.543501219
13,plla,invasive,young,2,6.686111667,,0.010666667,2.777130301
13,plla,invasive,young,3,,80,0.008833333,2.637729571
13,plla,invasive,young,4,,51.66666667,0.009666667,
13,plla,invasive,young,5,,46.66666667,0.009416667,
14,prpa,invasive,mature,1,3.484116667,240,0.012,4.170913043
14,prpa,invasive,mature,2,3.665361667,261.6666667,0.011333333,3.235846523
14,prpa,invasive,mature,3,,308.3333333,0.010666667,4.090885522
14,prpa,invasive,mature,4,,260,0.011,3.503649932
14,prpa,invasive,mature,5,,198.3333333,0.008444444,
14,prpa,invasive,young,1,4.088266667,,,4.42791497
14,prpa,invasive,young,2,3.786191667,,,2.85817486
14,prpa,invasive,young,3,3.725776667,,,2.745346117
14,prpa,invasive,young,4,,,,
14,prpa,invasive,young,5,,,,
15,psca,invasive,mature,1,20.82322167,363.3333333,0.021333333,1.910847437
15,psca,invasive,mature,2,19.49409167,265,0.019416667,1.756166667
15,psca,invasive,mature,3,21.36695667,250,0.020083333,2.145228374
15,psca,invasive,mature,4,,286.6666667,0.02025,1.901902516
15,psca,invasive,mature,5,,270,0.02075,
15,psca,invasive,young,1,23.36065167,36.66666667,0.012777778,1.586858601
15,psca,invasive,young,2,31.09377167,66.66666667,0.010888889,1.505558542
15,psca,invasive,young,3,24.93144167,43.33333333,0.014111111,1.497689146
15,psca,invasive,young,4,,58.33333333,0.011777778,
15,psca,invasive,young,5,,53.33333333,0.017083333,
2,pssa,native,mature,1,5.538226667,70,0.004083333,0.806435065
2,pssa,native,mature,2,7.531921667,96.66666667,0.005583333,0.79846875
2,pssa,native,mature,3,8.377731667,106.6666667,0.00725,1.240651724
2,pssa,native,mature,4,,83.33333333,0.00525,1.14794964
2,pssa,native,mature,5,,51.66666667,0.007333333,0.841963636
2,pssa,native,young,1,5.175736667,50,0.004,0.84263216
2,pssa,native,young,2,7.169431667,25,0.006333333,1.405422442
2,pssa,native,young,3,5.961131667,45,0.007583333,2.091760749
2,pssa,native,young,4,,82.5,0.005916667,
2,pssa,native,young,5,,62.5,0.006333333,
16,pyan,invasive,mature,1,6.202791667,66.66666667,0.010583333,2.322545455
16,pyan,invasive,mature,2,5.840301667,96.66666667,0.008333333,3.074031008
16,pyan,invasive,mature,3,7.350676667,75,0.010083333,2.201813665
